_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,t,,,,,,,,,d,d,d,d,,,,,,,,,,,,,d,d,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,d,,crystal,,,,,,,,t,,,,,,,,,,,d,d,,,,,,,,,,,,,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,t,,,,,,,,,,,,,,co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,br,br,br,,,,,,v,d,,,,,br,,,,,t,ll,ll,ll,ll,,,,,,,,,,,,,,,,,,,,,,,,br,br,br,g,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ssp,ssp,ssp,,,,,,,,,,,,,,,v,d,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,br,br,br,d,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ssp,ssp,ssp,,,,,,,,,,,,,,,v,d,,,,,,,,,,t,,,,,,,,,g,g,,,,,,,,,,,,,,,g,,,,,v,d,,,,i,i,i,,gb,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ssp,ssp,ssp,,,,,,,,,,,,,,,v,d,br,,,,,,ll,ll,ll,t,,,,,,,,,d,,,,,,,sp,g,,,l,l,l,,,d,sp,,,,v,d,,,,,,i,i,i,ib,ib,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,g
,,,,,,,,ssp,ssp,ssp,,,,,,,,,,,,,,,v,d,,,,,,,,,,t,,,,,,,,,d,,,,,,sp,g,d,,,,,,,,d,g,,,,v,d,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,g
,,,,,i,i,i,i,i,i,,,,,,,,,,,,,,,v,,,,,,,,,,,t,,,,,,,,,d,d,,,,sp,g,d,d,,,,,,,,d,d,sp,,,v,d,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,g,g,,,i,i,i,i,i,i,,,,,,,sp,sp,sp,,,,,,,,,,,sk,,,,,,t,,,,,,,,,d,d,gb,,sp,g,d,d,d,,,,,,,,d,d,g,,,v,d,,,,,,,,,,,,,,,d,,,,,,,goal,,,,,,,,,,,,,,,,,,,g
d,d,d,,,i,i,i,i,i,i,,,,,,,d,d,d,,,,,,,g,g,g,g,g,g,g,,,,t,,,,,,,,,d,d,g,g,g,d,d,d,d,,,,,,,,d,d,d,sp,g,g,d,,,,,,,,,,,,,,,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
d,d,d,,,i,i,i,i,i,i,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,,,,t,,,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,,d,d,d,g,d,d,d,,,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
d,d,d,,,i,i,i,i,i,i,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,,,,t,,,,,,,,,d,d,d,d,d,d,d,d,d,,,,,,,,d,d,d,d,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
