_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br,br,br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb,,,bb,,,bb,,bb,,,,s,qs,qs,qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,ca,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,l,l,l,l,,,l,l,l,l,l,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br,br,br,,c,,,,,ca,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gb,,,,h,,s,s,,,s,,,h,,,,,,,,,,,,,,,,,,,,,he,,,ca,,,s,,s,,he,ssp,ssp,s,s,s,s,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,
s,s,s,s,s,s,,,,,,,,,,,,,,,,s,,,,,,,,,,s,s,s,,,,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,,,s,s,s,s,s,s,s,,,l,l,l,,,,,,,,,,,,,s,s,s,s,s,s,s,,s,ssp,ssp,ssp,ssp,s,s,s,s,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,
s,s,s,s,s,s,br,br,,,,s,,,,,,,,,,s,,,,,,,,,,s,s,s,,,,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,,,s,s,s,s,s,s,s,,,,,,,,,s,s,s,,,,s,s,s,s,s,s,s,s,s,s,,,ssp,ssp,ssp,ssp,s,s,s,s,,,,goal,,,,,,,,,,,,,s,,,,,,,,,,,,,,,
s,s,s,s,s,s,,,,,,s,,,,,,,,,,s,,,,,,,,,,,,s,,,,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,,,s,s,s,s,s,s,s,,,,,,,,,s,s,s,,,,s,s,s,s,s,s,s,s,s,s,,,ssp,ssp,ssp,ssp,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
s,s,s,s,s,s,,,,,,s,,,,,,,,,,s,,,,,,,,,,,,s,,,,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,,,s,s,s,s,s,s,s,,,,,,,,,s,s,s,,,,s,s,s,s,s,s,s,s,s,s,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
s,s,s,s,s,s,,,,,,s,,,,,,,,,,s,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,s,s,,,,s,s,s,s,s,s,s,s,s,s,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
s,s,s,s,s,s,,,,,,s,,,,,,,,,,s,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,s,s,,,,s,s,s,s,s,s,s,s,s,s,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
