_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,v,v,v,ll,ll,t,t,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,t,,,,,,,,,c,,,,,,,,,,,,br,br,,,,,,,,t,t,t,,,,,bg,,,,,,,,,,,,,,,,,ca,,,,,,,,,,,bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,
,,,,s,qs,qs,s,,,,,,,,,,t,ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,t,ll,,,,,,,,,,,,,,,,,,,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,t,,,,,,,,,,bb,,,,,,,,,,,,,,,he,,,,,t,t,t,,,,,,,,,,,bg,,,,,,,,,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,goal,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,
,,,,,sk,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,sg,,,,,,s,s,s,s,,,t,t,t,,,,,,,,,,,,,,,,,,,,,s,ca,s,,,,sb,,,gb,,,sk,,,gb,he,,sb,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
,,,,s,s,s,s,,,,,,,,,,t,,,,l,l,l,l,l,,,,,,,,,,,,,,,,s,s,s,s,,,s,s,s,,,,,,,,,,,,,,,,bg,,,,,s,sb,s,,,,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,,br,br,br,br,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
,,,,s,,,,,ssp,ssp,ssp,,,,,ll,t,,,,,,,,,,,br,br,br,,,,,,,,,,,,,,,,,s,s,s,,,,,,,,,,,,,,,,,,,,,s,s,crystal,,,,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
s,s,,,s,,he,,,ssp,ssp,ssp,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,s,s,,,,,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
s,s,,,s,s,s,s,s,s,s,s,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,co,,,,,,,,,,,,,,,,,,,,,,s,s,s,,,,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,sb,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
s,s,,,s,s,s,s,s,s,s,s,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
