_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,,,ll,ll,ll,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,
,,,,,,,,,,,,,,,,,,,,br,br,,,,,,,,,,,,,,,,d,d,,,,,,t,ll,ll,ll,,,,,,,,br,br,br,br,br,br,,,,,,,i,i,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,
,,,,,,,,,,,,,,,br,br,,sk,,,,,,,co,,,,,,,,,,,,,,,,,ll,ll,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,goal,,,,,,,,,,,,,,,,,,g,,
,,,,,,,,g,,,,,,,,,,,,sp,sp,sp,,,,,,,,,,,,,,sp,,,,,,,,t,,,,,,,,,,,,,,,,,,,,he,,g,,,,,,,,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,
g,g,g,g,g,,,sp,d,,,,,,sp,sp,sp,sp,sp,sp,g,g,g,,g,g,g,g,,,,,,,,,g,,,,sp,sp,,,t,,,,,,,,g,g,g,,,,,,,,g,g,g,g,d,g,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,
d,d,d,d,d,,,g,d,,,,,,g,g,g,g,g,g,d,d,d,,d,d,d,d,,,,,,,,,d,sp,,g,g,g,g,g,t,,,,,,,,d,d,d,g,,,,,,g,d,d,d,d,d,d,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,
d,d,d,d,d,,,d,d,,,,,,d,d,d,d,d,d,d,d,d,,d,d,d,d,,,,,,,,,d,g,g,d,d,d,d,d,t,,,,,,,,d,d,d,d,sp,sp,sp,sp,g,d,d,d,d,d,d,d,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,
d,d,d,d,d,,,d,d,,,,,,d,d,d,d,d,d,d,d,d,,d,d,d,d,,,,,,,,,d,d,d,d,d,d,d,d,t,,,,,,,,d,d,d,d,g,g,g,g,d,d,d,d,d,d,d,d,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,
