_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,ll,ll,ll,,,,,,,,,,,,,,,,,,,,,,,t,ll,ll,ll,ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,ll,ll,ll,t,,,,,,,,,,,,,,,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,ll,t,,,,,,,,,ll,ll,t,,,,,,bb,,,,sg,,,,,s,s,s,s,s,,s,,,,,t,,,,,,,,br,br,br,,,,,s,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,sg,,,,,,,,t,ll,ll,ll,ll,,,,,,,t,,,,,br,br,,,,,,,,,s,,,,,,s,,,,,t,,,,,,,,,,,,,,,,s,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sk,,,,,,,,,,,,,t,,,,,,,,,,,t,,co,,,,,,,,,,,,,s,co,,gb,,,s,s,,sk,,t,,,,,,,,,,,,,,,,s,s,,,,,,,,,,,,goal,,,,,,,,,,,,,,,,,,,
,,,,,,,,,s,s,s,,,,,,,,,,,,t,,,,,bb,,,,,,t,,,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,,,,,
,,,sp,,,,,,,,,,,,,,,,,,,,t,sk,,,,,,,,,,t,ll,ll,ll,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,,,,,
s,s,s,s,s,s,,,,,,,,,,,,,,,,s,s,s,s,s,s,,,,,,,,t,,,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,,,,,
s,s,s,s,s,s,br,br,,,,,,,,,,,,,,s,s,s,s,s,s,,,,,,,,t,,,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,,,,,
s,s,s,s,s,s,,,,,,,,,,,,,,,,s,s,s,s,s,s,,,,,,,,t,,,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,,,,,
s,s,s,s,s,s,,,,,,,,,,,,,,,,s,s,s,s,s,s,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
