_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,br,br,br,br,br,br,br,br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,crystal,,,,co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,,ll,ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
,,,,,,,ssp,ssp,ssp,,,,,,,,,,,,,,,,,,,,,g,g,g,,,,,,,,,,,,,,bb,,d,d,d,d,,,,,,ll,ll,t,ll,ll,ll,,,l,l,l,,,,,,,,,,,t,ll,ll,,,,,,,,,,,goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
,,,,,,,ssp,ssp,ssp,,,,,,,,,,,,bb,c,,,,,,,,d,d,d,,,,,,,,,,,,,,,,d,d,d,d,,,,,,,,t,bb,,,,,,,,,,,,,,,,,,t,,,,,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
,,,ssp,ssp,ssp,,ssp,ssp,ssp,,,,,,,,,,,,,,,,,,,,,d,d,d,,bb,,,,,,,,,,,,br,,d,d,d,d,,,,,,ll,ll,t,ll,ll,,,,,,,,br,br,g,,,,,,,t,,,c,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
,,,ssp,ssp,ssp,gb,ssp,ssp,ssp,gb,,,,,,,,,,,,,,,,,,,,d,d,d,,,,,,,,,,,,,,,,d,d,d,d,,,,,,,,t,,,,,,,,,,,,d,,,,,,,t,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,g,g,g,g,,,l,l,l,l,d,d,d,,,,,gb,,,,,,,,,,,d,d,d,d,,,,,,,,t,,,,,,,,,,,,d,,,,,,,t,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,d,,,,,,,d,d,d,g,g,g,g,g,g,,sp,,sp,,g,g,g,g,d,d,d,d,,,,,,g,g,g,g,g,g,,,,,,,,,d,,,,g,g,g,g,g,g,g,g,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,d,,,,,,,d,d,d,d,d,d,d,d,d,,d,g,d,,d,d,d,d,d,d,d,d,,,,,,d,d,d,d,d,d,,,,,,,,,d,g,g,g,d,d,d,d,d,d,d,d,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,,,d,d,d,d,,,,,,,d,d,d,d,d,d,d,d,d,,d,d,d,,d,d,d,d,d,d,d,d,,,,,,d,d,d,d,d,d,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
